uf_abbr;municipality;direto;url_pagina;SIG_link
CE;Lavras da Mangabeira;0;https://rigeo.sgb.gov.br/handle/doc/14885;https://rigeo.sgb.gov.br/bitstream/doc/14885/3/sig_lavrasdemagabeira_ce.zip
CE;Morada Nova;0;https://rigeo.sgb.gov.br/handle/doc/14886;https://rigeo.sgb.gov.br/bitstream/doc/14886/4/sig_moradanova_ce.zip
CE;Sobral;0;https://rigeo.sgb.gov.br/handle/doc/14887;https://rigeo.sgb.gov.br/bitstream/doc/14887/3/sig_sobral_ce.zip
ES;Água Doce do Norte;0;https://rigeo.sgb.gov.br/handle/doc/14888;https://rigeo.sgb.gov.br/bitstream/doc/14888/5/sig_aguadocedonorte_es.zip
ES;Alegre;0;https://rigeo.sgb.gov.br/handle/doc/14889;https://rigeo.sgb.gov.br/bitstream/doc/14889/5/sig_alegre_es_suscet.zip
ES;Aracruz;0;https://rigeo.sgb.gov.br/handle/doc/14890;https://rigeo.sgb.gov.br/bitstream/doc/14890/5/sig_aracruz_rj.zip
ES;Bom Jesus do Norte;0;https://rigeo.sgb.gov.br/handle/doc/14891;https://rigeo.sgb.gov.br/bitstream/doc/14891/5/sig_bomjesusdonorte_es.zip
ES;Cachoeiro de Itapemirim;0;https://rigeo.sgb.gov.br/handle/doc/14892;https://rigeo.sgb.gov.br/bitstream/doc/14892/5/sig_cachoeirodoitapemirim_es_suscet.zip
ES;Cariacica;0;https://rigeo.sgb.gov.br/handle/doc/14893;https://rigeo.sgb.gov.br/bitstream/doc/14893/5/sig_cariacica_es_suscet.zip
ES;Colatina;0;https://rigeo.sgb.gov.br/handle/doc/14894;https://rigeo.sgb.gov.br/bitstream/doc/14894/5/sig_colatina_es.zip
ES;Guaçuí;0;https://rigeo.sgb.gov.br/handle/doc/14895;https://rigeo.sgb.gov.br/bitstream/doc/14895/5/sig_guacui_es.zip
ES;Laranja da Terra;0;https://rigeo.sgb.gov.br/handle/doc/14896;https://rigeo.sgb.gov.br/bitstream/doc/14896/8/sig_laranjadaterra_es.zip
ES;Mimoso do Sul;0;https://rigeo.sgb.gov.br/handle/doc/14898;https://rigeo.sgb.gov.br/bitstream/doc/14898/5/sig_mimosodosul_es.zip
ES;Nova Venécia;0;https://rigeo.sgb.gov.br/handle/doc/14899;https://rigeo.sgb.gov.br/bitstream/doc/14899/5/sig_novavenecia_es.zip
ES;Rio Novo do Sul;0;https://rigeo.sgb.gov.br/handle/doc/14900;https://rigeo.sgb.gov.br/bitstream/doc/14900/5/sig_rionovodosul_es.zip
ES;Santa Leopoldina;0;https://rigeo.sgb.gov.br/handle/doc/14901;https://rigeo.sgb.gov.br/bitstream/doc/14901/5/sig_santaleopoldina_es_suscet.zip
ES;Vargem Alta;0;https://rigeo.sgb.gov.br/handle/doc/14902;https://rigeo.sgb.gov.br/bitstream/doc/14902/5/sig_vargemalta_es_suscet.zip
ES;Vila Velha;0;https://rigeo.sgb.gov.br/handle/doc/14903;https://rigeo.sgb.gov.br/bitstream/doc/14903/6/sig_vilavelha_es_suscet.zip
ES;Vitória;0;https://rigeo.sgb.gov.br/handle/doc/14904;https://rigeo.sgb.gov.br/bitstream/doc/14904/5/sig_vitoria_es.zip
MA;Bacabal;0;https://rigeo.sgb.gov.br/handle/doc/14905;https://rigeo.sgb.gov.br/bitstream/doc/14905/3/sig_bacabal_ma.zip
MA;Grajaú;0;https://rigeo.sgb.gov.br/handle/doc/14906;https://rigeo.sgb.gov.br/bitstream/doc/14906/3/sig_grajau_ma.zip
MA;Imperatriz;0;https://rigeo.sgb.gov.br/handle/doc/14907;https://rigeo.sgb.gov.br/bitstream/doc/14907/3/sig_imperatriz_ma.zip
